brand,item_name,rating,comments,all_price ($),shipping_cost (+$) ,shipping from,sold_quantity (+),view_quantity
Samsung,Samsung Galaxy S10+ Plus SM-G975U 128GB AT&T Verizon T-mobile (Unlocked)C stock,2.0,Pre-Owned,159.99,28.74,from United States,990.0,
Apple,Apple iPhone SE (2020) 2nd Gen 64GB 128GB 256GB Unlocked All Colours - Very Good,6.0,Very Good - Refurbished,142.73 to 224.11,44.06,from United Kingdom,984.0,
Kyocera,Kyocera DuraXV Extreme E4810 16GB Black NON Camera(Verizon) Smartphone GREAT,17.0,Pre-Owned,329.99,27.6,from United States,941.0,
Samsung,"Samsung Galaxy S22 SM-S901U 128GB 8GB RAM 6.1"" AT&T Unlocked PHONE OPEN BOX",45.0,Open Box,399.90 to 399.95,33.3,from United States,930.0,
Refurbished,Refurbished Apple iPhone XR A1984 (Fully Unlocked) 64GB Black (Excellent),1072.0,Excellent - Refurbished,220,29.88,from United States,919.0,
DOCOMO,DOCOMO KY-01L Card Mobile Docomo Body,184.0,Pre-Owned,136.71,Free,from Japan,896.0,13.0
Samsung,Samsung Galaxy S20 FE 5G G781U 128GB Navy Mint Lavender (Unlocked) - Very Good,36.0,Very Good - Refurbished,175,29.03,from United States,858.0,23.0
Samsung,Samsung Galaxy S7 G930F 32GB Black White Gold Silver Unlocked - GOOD ⭐,18.0,Good - Refurbished,85.12 to 91.26,47.56,from United Kingdom,840.0,9.0
Apple,Apple iPhone 7 - 32GB - All Colors - AT&T - Very Good Condition,171.0,Very Good - Refurbished,89.09,27.4,from United States,821.0,428.0
Samsung,Samsung Galaxy S22 5G - 128GB - Network Locked - Pre-Owned Very Good Condition,53.0,Pre-Owned,249.99,30.45,from United States,777.0,
Samsung,Samsung Galaxy A7 2018 (SM-A750G/DS) 64GB (GSM Unlocked) Dual SIM - BLEMISHED,14.0,Pre-Owned,58.99,26.83,from United States,751.0,8.0
Sonim,"Sonim XP8 XP8800 64GB Android Ultra Rugged , AT&T/FASTNET/UNLOCKED",2.0,Open Box,135,36.27,from United States,734.0,
Google,Google Pixel 4a - G025J - 128GB - Just Black - (Unlocked) - Good,142.0,Pre-Owned,89.99,27.41,from United States,725.0,22.0
Samsung,Samsung Galaxy S9 Plus Unlocked Used Android Smartphone 64GB SM-G965U S9+,54.0,Pre-Owned,104.95,27.7,from United States,723.0,3.0
NEW,NEW LISTINGApple iPhone 12 - 64GB - Black (Unlocked),99.0,Pre-Owned,232.87,16.1,from France,722.0,58.0
Samsung,Samsung Galaxy A10 Dual SIM 32GB Unlocked Black Blue Red Smart Phone 4G | Good,1.0,Good - Refurbished,113.93,43.18,from United Kingdom,721.0,
New,New Sealed Samsung Galaxy A23 Smartphone 128GB Unlocked 4G Dual Sim All Colours,128.0,Brand New,206.52 to 223.80,46.52,from United Kingdom,716.0,
Samsung,Samsung S21 5G Unlocked G991U 128GB Spot,3.0,Pre-Owned,169,28.92,from United States,707.0,9.0
Samsung,Samsung Galaxy A32 5G Unlocked 64GB - Awesome Black - Excellent Condition,53.0,Open Box,139.99,28.36,from United States,701.0,
Apple,Apple iPhone 13 Pro - 256GB - All Colors - Unlocked - Good Condition,13.0,Good - Refurbished,762.29 to 772.19,40.38,from United States,690.0,39.0
