Crawl Timestamp,Title,Manufacturer,Model Name,Price,Seller Rating,Seller Num Of Reviews
2021-02-17 06:24:23 +0000,Apple Airpods Pro with wireless charging case NEW in box and SEALED,Apple Airpods Pro with wireless charging case NEW in box and SEALED,Apple Airpods Pro with wireless charging case NEW in box and SEALED,$245.00,100.0,59
2021-01-11 00:03:01 +0000,Nintendo wii console fit board and games bundle,Nintendo wii console fit board and games bundle,Nintendo wii console fit board and games bundle,$108.73,100.0,613
2021-02-10 15:03:24 +0000,Fossil smart watch,Fossil smart watch,Fossil smart watch,$200.00,100.0,2
2021-01-10 09:29:03 +0000,AM Sony CMOS CCD 1800TVL CCTV Security Camera 72 IR 2.8-12mm Vari-Focal Lens 4pc,AM Sony CMOS CCD 1800TVL CCTV Security Camera 72 IR 2.8-12mm Vari-Focal Lens 4pc,AM Sony CMOS CCD 1800TVL CCTV Security Camera 72 IR 2.8-12mm Vari-Focal Lens 4pc,$252.00,100.0,6215
2021-02-11 02:48:52 +0000,apple tv 4k 32GB New Unopened,apple tv 4k 32GB New Unopened,apple tv 4k 32GB New Unopened,$97.00,100.0,11
2021-02-23 22:37:15 +0000,Android Smart TV Box 1GB RAM 8GB ROM Quad Core Smart X96 Smart Media Player wifi,Android Smart TV Box 1GB RAM 8GB ROM Quad Core Smart X96 Smart Media Player wifi,Android Smart TV Box 1GB RAM 8GB ROM Quad Core Smart X96 Smart Media Player wifi,$39.00,100.0,3556
2021-02-21 02:08:55 +0000,GEMS Bluetooth Fitness Watch Activity Tracker Wristband NEW Box,GEMS Bluetooth Fitness Watch Activity Tracker Wristband NEW Box,GEMS Bluetooth Fitness Watch Activity Tracker Wristband NEW Box,$21.30,100.0,37
2021-01-06 11:18:22 +0000,PLAYSTATION 4 PRO 1TB,PLAYSTATION 4 PRO 1TB,PLAYSTATION 4 PRO 1TB,$168.58,100.0,27
2021-01-03 10:47:29 +0000,VINCI Tab M Tablet VS-5100C,VINCI Tab M Tablet VS-5100C,VINCI Tab M Tablet VS-5100C,$115.00,100.0,74
2021-02-10 12:45:12 +0000,"Vieta pro it plus-Bluetooth wireless Headsets (5.0, true wireless","Vieta pro it plus-Bluetooth wireless Headsets (5.0, true wireless","Vieta pro it plus-Bluetooth wireless Headsets (5.0, true wireless",$99.91,100.0,1421
